Cluster Number,Max Value,Num Voxels,Percentage of Voxel,MNI Coordinates,Region Name,ROI_Idx,ROI_name,Conectivity
1,-11.0,7,2.046783625730994, 66 -18 -12,aSTS_R,3,A8dl_L,-1
2,-10.0,1,0.33222591362126247, 63 -6 -21,A21r_R,3,A8dl_L,-1
2,-10.0,1,0.29239766081871343, 63 -6 -18,aSTS_R,3,A8dl_L,-1
3,-10.0,5,2.5, 3 54 -24,A11m_R,3,A8dl_L,-1
4,-10.0,1,0.5263157894736842, -69 -30 3,A22c_L,3,A8dl_L,-1
4,-17.0,67,41.358024691358025, -66 -36 -12,A21c_L,3,A8dl_L,-1
4,-11.0,14,5.343511450381679, -66 -30 -6,aSTS_L,3,A8dl_L,-1
4,-11.0,23,17.16417910447761, -63 -39 -15,A20cl_L,3,A8dl_L,-1
5,-12.0,5,1.9083969465648856, -60 -9 -18,aSTS_L,3,A8dl_L,-1
1,-10.0,1,0.45662100456621, -33 21 -27,A38m_L,6,A9l_R,-1
1,-11.0,17,5.647840531561462, 48 6 -42,A21r_R,11,A9m_L,-1
1,-10.0,2,1.5748031496062993, 48 3 -45,A20r_R,11,A9m_L,-1
2,-10.0,1,0.5, 3 54 -24,A11m_R,11,A9m_L,-1
3,-10.0,4,1.7621145374449338, -54 -3 -27,A21r_L,11,A9m_L,-1
3,-10.0,1,0.3816793893129771, -57 -3 -21,aSTS_L,11,A9m_L,-1
1,-11.0,17,5.647840531561462, 51 9 -42,A21r_R,12,A9m_R,-1
1,-11.0,2,1.5748031496062993, 48 3 -45,A20r_R,12,A9m_R,-1
2,-10.0,1,0.6097560975609756, 48 6 54,A6vl_R,12,A9m_R,-1
3,-10.0,3,1.0033444816053512, 33 -36 -24,A20rv_R,12,A9m_R,-1
3,-10.0,3,1.3888888888888888, 36 -33 -24,A37lv_R,12,A9m_R,-1
3,-10.0,1,0.36231884057971014, 30 -36 -24,Right V,12,A9m_R,-1
3,-10.0,7,1.1705685618729098, 36 -42 -27,Right VI,12,A9m_R,-1
4,-10.0,1,0.5181347150259067, 36 21 -33,A38m_R,12,A9m_R,-1
5,-10.0,1,0.33444816053511706, 30 -33 -21,A20rv_R,12,A9m_R,-1
6,-10.0,1,2.7027027027027026, 18 -12 -30,A28/34_R,12,A9m_R,-1
7,-10.0,1,0.29850746268656714, -18 -36 -30,Left I-IV,12,A9m_R,-1
7,-11.0,2,0.5847953216374269, -18 -39 -30,Left V,12,A9m_R,-1
8,-10.0,1,0.704225352112676, -33 21 -24,A12/47o_L,12,A9m_R,-1
8,-10.0,12,5.47945205479452, -36 21 -30,A38m_L,12,A9m_R,-1
9,-10.0,1,0.6756756756756757, -48 21 -18,A38l_L,12,A9m_R,-1
10,-10.0,2,0.8810572687224669, -54 -3 -27,A21r_L,12,A9m_R,-1
1,-10.0,4,1.3289036544850499, 51 9 -39,A21r_R,13,A10m_L,-1
2,-11.0,1,0.44642857142857145, -3 39 36,A9m_L,13,A10m_L,-1
1,-14.0,7,3.8461538461538463, 42 15 42,IFJ_R,14,A10m_R,-1
1,-12.0,1,0.4048582995951417, 39 18 45,A8vl_R,14,A10m_R,-1
2,-10.0,30,13.513513513513514, 21 27 51,A8dl_R,14,A10m_R,-1
3,-11.0,56,21.62162162162162, -6 -60 15,dmPOS_L,14,A10m_R,-1
3,-12.0,24,7.5, 12 -60 21,dmPOS_R,14,A10m_R,-1
3,-10.0,40,16.80672268907563, -3 -60 18,A31_L,14,A10m_R,-1
3,-11.0,8,3.088803088803089, 3 -57 15,A31_R,14,A10m_R,-1
3,-10.0,1,0.6535947712418301, -3 -54 24,A23d_L,14,A10m_R,-1
3,-12.0,19,18.81188118811881, -3 -54 9,A23v_L,14,A10m_R,-1
