ROI_name,Region Name,SUM of UC,SUM of OC,Inconsistency,Equal
A21r_R,Right I-IV,1,1,TRUE,FALSE
A31_L,A31_L,1,1,TRUE,TRUE
A11m_L,dmPOS_R,5,0,FALSE,FALSE
A10m_R,A8dl_L,4,0,FALSE,FALSE
A21c_L,A10l_L,4,0,FALSE,FALSE
A21c_L,A12/47o_L,4,0,FALSE,FALSE
A21c_L,A9/46d_L,4,0,FALSE,FALSE
A23c_R,A13_L,4,0,FALSE,FALSE
A23c_R,A24rv_R,4,0,FALSE,FALSE
A37lv_L,A40rv_L,4,0,FALSE,FALSE
A37lv_L,dmPOS_R,4,0,FALSE,FALSE
A10m_R,A8vl_L,3,0,FALSE,FALSE
A14m_L,dmPOS_R,3,0,FALSE,FALSE
A21c_L,IFJ_L,3,0,FALSE,FALSE
A21r_L,A9l_L,3,0,FALSE,FALSE
A21r_R,A39rv_L,3,0,FALSE,FALSE
A23c_R,A32sg_L,3,0,FALSE,FALSE
A31_L,A21c_L,3,0,FALSE,FALSE
A31_L,A21r_R,3,0,FALSE,FALSE
A32sg_L,dmPOS_R,3,0,FALSE,FALSE
A37elv_R,dmPOS_L,3,0,FALSE,FALSE
A37lv_L,A37lv_R,3,0,FALSE,FALSE
A37lv_L,A40rd_L,3,0,FALSE,FALSE
A37lv_L,V5/MT+_R,3,0,FALSE,FALSE
A37lv_L,vmPOS_R,3,0,FALSE,FALSE
A37lv_R,A2_L,3,0,FALSE,FALSE
A37lv_R,lsOccG_L,3,0,FALSE,FALSE
A37lv_R,msOccG_L,3,0,FALSE,FALSE
A37lv_R,V5/MT+_L,3,0,FALSE,FALSE
aSTS_L,A21r_R,3,0,FALSE,FALSE
rpSTS_L,aSTS_R,3,0,FALSE,FALSE
vmPu_R,Left VI,3,0,FALSE,FALSE
A1/2/3ll_L,A1/2/3tru_L,2,0,FALSE,FALSE
A1/2/3tonIa_L,dIg_L,2,0,FALSE,FALSE
A1/2/3tru_L,A4ll_L,2,0,FALSE,FALSE
A10m_R,A23d_L,2,0,FALSE,FALSE
A10m_R,A31_R,2,0,FALSE,FALSE
A10m_R,A39rv_L,2,0,FALSE,FALSE
A10m_R,A9m_L,2,0,FALSE,FALSE
A11m_L,A8dl_L,2,0,FALSE,FALSE
A11m_L,vmPOS_R,2,0,FALSE,FALSE
A11m_R,A10m_L,2,0,FALSE,FALSE
A11m_R,A10m_R,2,0,FALSE,FALSE
A11m_R,A31_L,2,0,FALSE,FALSE
A11m_R,A9l_L,2,0,FALSE,FALSE
A11m_R,aSTS_R,2,0,FALSE,FALSE
A11m_R,IFJ_R,2,0,FALSE,FALSE
A11m_R,Left I-IV,2,0,FALSE,FALSE
A12/47o_L,aSTS_L,2,0,FALSE,FALSE
A12/47o_L,aSTS_R,2,0,FALSE,FALSE
A14m_L,A23d_L,2,0,FALSE,FALSE
A14m_L,A23d_R,2,0,FALSE,FALSE
A14m_R,A1/2/3tru_R,2,0,FALSE,FALSE
A14m_R,A23d_L,2,0,FALSE,FALSE
A14m_R,A23d_R,2,0,FALSE,FALSE
A14m_R,dmPOS_R,2,0,FALSE,FALSE
A20cl_L,A6cvl_L,2,0,FALSE,FALSE
A20cl_L,A6vl_L,2,0,FALSE,FALSE
A20il_L,A10m_R,2,0,FALSE,FALSE
A20il_L,A9/46d_L,2,0,FALSE,FALSE
A21c_L,A10m_L,2,0,FALSE,FALSE
A21c_L,A11m_R,2,0,FALSE,FALSE
A21c_L,A12/47l_L,2,0,FALSE,FALSE
A21c_L,A20il_L,2,0,FALSE,FALSE
A21c_L,A21r_R,2,0,FALSE,FALSE
A21c_L,A39rv_R,2,0,FALSE,FALSE
A21c_L,A46_L,2,0,FALSE,FALSE
A21c_L,A8m_L,2,0,FALSE,FALSE
A21c_L,aSTS_R,2,0,FALSE,FALSE
A21r_L,A1/2/3ll_L,2,0,FALSE,FALSE
A21r_L,A10m_L,2,0,FALSE,FALSE
A21r_L,A14m_R,2,0,FALSE,FALSE
A21r_L,A23d_L,2,0,FALSE,FALSE
A21r_L,A31_R,2,0,FALSE,FALSE
A21r_L,A39rv_L,2,0,FALSE,FALSE
A21r_L,A40c_L,2,0,FALSE,FALSE
A21r_L,A8dl_L,2,0,FALSE,FALSE
A21r_L,aSTS_L,2,0,FALSE,FALSE
A21r_L,dmPOS_R,2,0,FALSE,FALSE
A21r_R,A10m_L,2,0,FALSE,FALSE
A21r_R,A31_L,2,0,FALSE,FALSE
A21r_R,A31_R,2,0,FALSE,FALSE
A21r_R,A32sg_L,2,0,FALSE,FALSE
A21r_R,A41/42_L,2,0,FALSE,FALSE
A21r_R,A8dl_R,2,0,FALSE,FALSE
A21r_R,aSTS_L,2,0,FALSE,FALSE
A23c_L,A38m_R,2,0,FALSE,FALSE
A23c_R,A13_R,2,0,FALSE,FALSE
A23c_R,A14m_L,2,0,FALSE,FALSE
A23c_R,A38l_R,2,0,FALSE,FALSE
A23c_R,NAC_L,2,0,FALSE,FALSE
A23c_R,vCa_L,2,0,FALSE,FALSE
A23c_R,vIa_R,2,0,FALSE,FALSE
A23c_R,vmPu_R,2,0,FALSE,FALSE
A23v_R,A14m_R,2,0,FALSE,FALSE
A31_L,A10m_R,2,0,FALSE,FALSE
A31_L,A12/47o_L,2,0,FALSE,FALSE
A31_L,A14m_R,2,0,FALSE,FALSE
A31_L,A31_R,2,0,FALSE,FALSE
A31_L,aSTS_R,2,0,FALSE,FALSE
A32sg_L,A23d_L,2,0,FALSE,FALSE
A32sg_L,A23d_R,2,0,FALSE,FALSE
A37elv_L,A40rd_L,2,0,FALSE,FALSE
A37elv_L,A40rd_R,2,0,FALSE,FALSE
A37elv_L,A6dl_L,2,0,FALSE,FALSE
A37elv_L,A6vl_L,2,0,FALSE,FALSE
A37elv_L,lsOccG_L,2,0,FALSE,FALSE
A37elv_R,A6cvl_R,2,0,FALSE,FALSE
A37elv_R,A7ip_R,2,0,FALSE,FALSE
A37elv_R,dmPOS_R,2,0,FALSE,FALSE
A37lv_L,A1/2/3ulhf_R,2,0,FALSE,FALSE
A37lv_L,A2_L,2,0,FALSE,FALSE
A37lv_L,A2_R,2,0,FALSE,FALSE
A37lv_L,A39c_L,2,0,FALSE,FALSE
A37lv_L,A39c_R,2,0,FALSE,FALSE
A37lv_L,A40rd_R,2,0,FALSE,FALSE
A37lv_L,A6cdl_R,2,0,FALSE,FALSE
A37lv_L,A6cvl_R,2,0,FALSE,FALSE
A37lv_L,A7c_L,2,0,FALSE,FALSE
A37lv_L,A7c_R,2,0,FALSE,FALSE
A37lv_L,A7ip_L,2,0,FALSE,FALSE
A37lv_L,lsOccG_L,2,0,FALSE,FALSE
A37lv_L,lsOccG_R,2,0,FALSE,FALSE
A37lv_L,OPC_L,2,0,FALSE,FALSE
A37lv_R,A39c_R,2,0,FALSE,FALSE
A37lv_R,A40rd_L,2,0,FALSE,FALSE
A37lv_R,A40rv_R,2,0,FALSE,FALSE
A37lv_R,A6cdl_R,2,0,FALSE,FALSE
A37lv_R,A6cvl_R,2,0,FALSE,FALSE
A37lv_R,A7c_L,2,0,FALSE,FALSE
A37lv_R,dmPOS_L,2,0,FALSE,FALSE
A37lv_R,dmPOS_R,2,0,FALSE,FALSE
A37lv_R,iOccG_L,2,0,FALSE,FALSE
A37lv_R,iOccG_R,2,0,FALSE,FALSE
A37lv_R,vmPOS_R,2,0,FALSE,FALSE
A38m_L,A10m_L,2,0,FALSE,FALSE
A38m_L,A9l_R,2,0,FALSE,FALSE
A38m_L,A9m_R,2,0,FALSE,FALSE
A38m_L,rpSTS_L,2,0,FALSE,FALSE
A38m_R,A40rv_R,2,0,FALSE,FALSE
A38m_R,A9m_L,2,0,FALSE,FALSE
A6vl_L,A10l_R,2,0,FALSE,FALSE
A6vl_L,A37elv_L,2,0,FALSE,FALSE
A7ip_L,lsOccG_R,2,0,FALSE,FALSE
A8dl_L,aSTS_L,2,0,FALSE,FALSE
A8dl_L,aSTS_R,2,0,FALSE,FALSE
A9m_R,A20rv_R,2,0,FALSE,FALSE
aSTS_L,A14m_L,2,0,FALSE,FALSE
aSTS_L,A39rv_L,2,0,FALSE,FALSE
aSTS_L,A8dl_L,2,0,FALSE,FALSE
aSTS_L,A9l_R,2,0,FALSE,FALSE
aSTS_L,A9m_R,2,0,FALSE,FALSE
aSTS_R,A1/2/3tru_R,2,0,FALSE,FALSE
aSTS_R,A41/42_L,2,0,FALSE,FALSE
aSTS_R,A9m_L,2,0,FALSE,FALSE
aSTS_R,TE1.0/TE1.2_L,2,0,FALSE,FALSE
cpSTS_R,TE1.0/TE1.2_R,2,0,FALSE,FALSE
lsOccG_R,A20cl_R,2,0,FALSE,FALSE
lsOccG_R,A37lv_L,2,0,FALSE,FALSE
rpSTS_L,A12/47o_R,2,0,FALSE,FALSE
rpSTS_L,A38l_R,2,0,FALSE,FALSE
rpSTS_L,A38m_L,2,0,FALSE,FALSE
vmPOS_L,A20rv_R,2,0,FALSE,FALSE
vmPOS_L,A38m_L,2,0,FALSE,FALSE
vmPOS_L,rpSTS_R,2,0,FALSE,FALSE
vmPOS_R,A20rv_R,2,0,FALSE,FALSE
vmPu_R,A23d_R,2,0,FALSE,FALSE
A1/2/3ll_L,A1/2/3ulhf_L,1,0,FALSE,FALSE
A1/2/3ll_L,A2_L,1,0,FALSE,FALSE
A1/2/3ll_L,A40rd_L,1,0,FALSE,FALSE
A1/2/3ll_L,A4t_L,1,0,FALSE,FALSE
A1/2/3ll_R,A1/2/3tru_L,1,0,FALSE,FALSE
A1/2/3ll_R,A5m_L,1,0,FALSE,FALSE
A1/2/3tonIa_L,A40rv_R,1,0,FALSE,FALSE
A1/2/3tru_L,A1/2/3ll_L,1,0,FALSE,FALSE
A1/2/3tru_L,A1/2/3ll_R,1,0,FALSE,FALSE
A1/2/3tru_L,A1/2/3ulhf_L,1,0,FALSE,FALSE
A1/2/3tru_L,A4hf_L,1,0,FALSE,FALSE
A1/2/3tru_L,A4ll_R,1,0,FALSE,FALSE
A1/2/3tru_R,A1/2/3ulhf_L,1,0,FALSE,FALSE
