ROI_name,Region Name,SUM of UC,SUM of OC,Inconsistency,Equal,Label
A21r_R,Right I-IV,1,1,True,False,1
A31_L,A31_L,1,1,True,True,2
A11m_L,dmPOS_R,5,0,False,False,3
A10m_R,A8dl_L,4,0,False,False,4
A21c_L,A10l_L,4,0,False,False,5
A21c_L,A12/47o_L,4,0,False,False,6
A21c_L,A9/46d_L,4,0,False,False,7
A23c_R,A13_L,4,0,False,False,8
A23c_R,A24rv_R,4,0,False,False,9
A37lv_L,A40rv_L,4,0,False,False,10
A37lv_L,dmPOS_R,4,0,False,False,11
A10m_R,A8vl_L,3,0,False,False,12
A14m_L,dmPOS_R,3,0,False,False,13
A21c_L,IFJ_L,3,0,False,False,14
A21r_L,A9l_L,3,0,False,False,15
A21r_R,A39rv_L,3,0,False,False,16
A23c_R,A32sg_L,3,0,False,False,17
A31_L,A21c_L,3,0,False,False,18
A31_L,A21r_R,3,0,False,False,19
A32sg_L,dmPOS_R,3,0,False,False,20
A37elv_R,dmPOS_L,3,0,False,False,21
A37lv_L,A37lv_R,3,0,False,False,22
A37lv_L,A40rd_L,3,0,False,False,23
A37lv_L,V5/MT+_R,3,0,False,False,24
A37lv_L,vmPOS_R,3,0,False,False,25
A37lv_R,A2_L,3,0,False,False,26
A37lv_R,lsOccG_L,3,0,False,False,27
A37lv_R,msOccG_L,3,0,False,False,28
A37lv_R,V5/MT+_L,3,0,False,False,29
aSTS_L,A21r_R,3,0,False,False,30
rpSTS_L,aSTS_R,3,0,False,False,31
vmPu_R,Left VI,3,0,False,False,32
A1/2/3ll_L,A1/2/3tru_L,2,0,False,False,33
A1/2/3tonIa_L,dIg_L,2,0,False,False,34
A1/2/3tru_L,A4ll_L,2,0,False,False,35
A10m_R,A23d_L,2,0,False,False,36
A10m_R,A31_R,2,0,False,False,37
A10m_R,A39rv_L,2,0,False,False,38
A10m_R,A9m_L,2,0,False,False,39
A11m_L,A8dl_L,2,0,False,False,40
A11m_L,vmPOS_R,2,0,False,False,41
A11m_R,A10m_L,2,0,False,False,42
A11m_R,A10m_R,2,0,False,False,43
A11m_R,A31_L,2,0,False,False,44
A11m_R,A9l_L,2,0,False,False,45
A11m_R,aSTS_R,2,0,False,False,46
A11m_R,IFJ_R,2,0,False,False,47
A11m_R,Left I-IV,2,0,False,False,48
A12/47o_L,aSTS_L,2,0,False,False,49
A12/47o_L,aSTS_R,2,0,False,False,50
A14m_L,A23d_L,2,0,False,False,51
A14m_L,A23d_R,2,0,False,False,52
A14m_R,A1/2/3tru_R,2,0,False,False,53
A14m_R,A23d_L,2,0,False,False,54
A14m_R,A23d_R,2,0,False,False,55
A14m_R,dmPOS_R,2,0,False,False,56
A20cl_L,A6cvl_L,2,0,False,False,57
A20cl_L,A6vl_L,2,0,False,False,58
A20il_L,A10m_R,2,0,False,False,59
A20il_L,A9/46d_L,2,0,False,False,60
A21c_L,A10m_L,2,0,False,False,61
A21c_L,A11m_R,2,0,False,False,62
A21c_L,A12/47l_L,2,0,False,False,63
A21c_L,A20il_L,2,0,False,False,64
A21c_L,A21r_R,2,0,False,False,65
A21c_L,A39rv_R,2,0,False,False,66
A21c_L,A46_L,2,0,False,False,67
A21c_L,A8m_L,2,0,False,False,68
A21c_L,aSTS_R,2,0,False,False,69
A21r_L,A1/2/3ll_L,2,0,False,False,70
A21r_L,A10m_L,2,0,False,False,71
A21r_L,A14m_R,2,0,False,False,72
A21r_L,A23d_L,2,0,False,False,73
A21r_L,A31_R,2,0,False,False,74
A21r_L,A39rv_L,2,0,False,False,75
A21r_L,A40c_L,2,0,False,False,76
A21r_L,A8dl_L,2,0,False,False,77
A21r_L,aSTS_L,2,0,False,False,78
A21r_L,dmPOS_R,2,0,False,False,79
A21r_R,A10m_L,2,0,False,False,80
A21r_R,A31_L,2,0,False,False,81
A21r_R,A31_R,2,0,False,False,82
A21r_R,A32sg_L,2,0,False,False,83
A21r_R,A41/42_L,2,0,False,False,84
A21r_R,A8dl_R,2,0,False,False,85
A21r_R,aSTS_L,2,0,False,False,86
A23c_L,A38m_R,2,0,False,False,87
A23c_R,A13_R,2,0,False,False,88
A23c_R,A14m_L,2,0,False,False,89
A23c_R,A38l_R,2,0,False,False,90
A23c_R,NAC_L,2,0,False,False,91
A23c_R,vCa_L,2,0,False,False,92
A23c_R,vIa_R,2,0,False,False,93
A23c_R,vmPu_R,2,0,False,False,94
A23v_R,A14m_R,2,0,False,False,95
A31_L,A10m_R,2,0,False,False,96
A31_L,A12/47o_L,2,0,False,False,97
A31_L,A14m_R,2,0,False,False,98
A31_L,A31_R,2,0,False,False,99
A31_L,aSTS_R,2,0,False,False,100
A32sg_L,A23d_L,2,0,False,False,101
A32sg_L,A23d_R,2,0,False,False,102
A37elv_L,A40rd_L,2,0,False,False,103
A37elv_L,A40rd_R,2,0,False,False,104
A37elv_L,A6dl_L,2,0,False,False,105
A37elv_L,A6vl_L,2,0,False,False,106
A6vl_L,A37elv_L,2,0,False,False,106
A37elv_L,lsOccG_L,2,0,False,False,107
A37elv_R,A6cvl_R,2,0,False,False,108
A37elv_R,A7ip_R,2,0,False,False,109
A37elv_R,dmPOS_R,2,0,False,False,110
A37lv_L,A1/2/3ulhf_R,2,0,False,False,111
A37lv_L,A2_L,2,0,False,False,112
A37lv_L,A2_R,2,0,False,False,113
A37lv_L,A39c_L,2,0,False,False,114
A37lv_L,A39c_R,2,0,False,False,115
A37lv_L,A40rd_R,2,0,False,False,116
A37lv_L,A6cdl_R,2,0,False,False,117
A37lv_L,A6cvl_R,2,0,False,False,118
A37lv_L,A7c_L,2,0,False,False,119
A37lv_L,A7c_R,2,0,False,False,120
A37lv_L,A7ip_L,2,0,False,False,121
A37lv_L,lsOccG_L,2,0,False,False,122
A37lv_L,lsOccG_R,2,0,False,False,123
lsOccG_R,A37lv_L,2,0,False,False,123
A37lv_L,OPC_L,2,0,False,False,124
A37lv_R,A39c_R,2,0,False,False,125
A37lv_R,A40rd_L,2,0,False,False,126
A37lv_R,A40rv_R,2,0,False,False,127
A37lv_R,A6cdl_R,2,0,False,False,128
A37lv_R,A6cvl_R,2,0,False,False,129
A37lv_R,A7c_L,2,0,False,False,130
A37lv_R,dmPOS_L,2,0,False,False,131
A37lv_R,dmPOS_R,2,0,False,False,132
A37lv_R,iOccG_L,2,0,False,False,133
A37lv_R,iOccG_R,2,0,False,False,134
A37lv_R,vmPOS_R,2,0,False,False,135
A38m_L,A10m_L,2,0,False,False,136
A38m_L,A9l_R,2,0,False,False,137
A38m_L,A9m_R,2,0,False,False,138
A38m_L,rpSTS_L,2,0,False,False,139
rpSTS_L,A38m_L,2,0,False,False,139
A38m_R,A40rv_R,2,0,False,False,140
A38m_R,A9m_L,2,0,False,False,141
A6vl_L,A10l_R,2,0,False,False,142
A7ip_L,lsOccG_R,2,0,False,False,143
A8dl_L,aSTS_L,2,0,False,False,144
aSTS_L,A8dl_L,2,0,False,False,144
A8dl_L,aSTS_R,2,0,False,False,145
A9m_R,A20rv_R,2,0,False,False,146
aSTS_L,A14m_L,2,0,False,False,147
aSTS_L,A39rv_L,2,0,False,False,148
aSTS_L,A9l_R,2,0,False,False,149
aSTS_L,A9m_R,2,0,False,False,150
aSTS_R,A1/2/3tru_R,2,0,False,False,151
aSTS_R,A41/42_L,2,0,False,False,152
aSTS_R,A9m_L,2,0,False,False,153
aSTS_R,TE1.0/TE1.2_L,2,0,False,False,154
cpSTS_R,TE1.0/TE1.2_R,2,0,False,False,155
lsOccG_R,A20cl_R,2,0,False,False,156
rpSTS_L,A12/47o_R,2,0,False,False,157
rpSTS_L,A38l_R,2,0,False,False,158
vmPOS_L,A20rv_R,2,0,False,False,159
vmPOS_L,A38m_L,2,0,False,False,160
vmPOS_L,rpSTS_R,2,0,False,False,161
vmPOS_R,A20rv_R,2,0,False,False,162
vmPu_R,A23d_R,2,0,False,False,163
A1/2/3ll_L,A1/2/3ulhf_L,1,0,False,False,164
A1/2/3ll_L,A2_L,1,0,False,False,165
A1/2/3ll_L,A40rd_L,1,0,False,False,166
A1/2/3ll_L,A4t_L,1,0,False,False,167
A1/2/3ll_R,A1/2/3tru_L,1,0,False,False,168
A1/2/3tru_L,A1/2/3ll_R,1,0,False,False,168
A1/2/3ll_R,A5m_L,1,0,False,False,169
A1/2/3tonIa_L,A40rv_R,1,0,False,False,170
A1/2/3tru_L,A1/2/3ll_L,1,0,False,False,171
A1/2/3tru_L,A1/2/3ulhf_L,1,0,False,False,172
A1/2/3tru_L,A4hf_L,1,0,False,False,173
A1/2/3tru_L,A4ll_R,1,0,False,False,174
A1/2/3tru_R,A1/2/3ulhf_L,1,0,False,False,175
A1/2/3tru_R,A4hf_L,1,0,False,False,176
A1/2/3ulhf_L,A1/2/3ulhf_R,1,0,False,False,177
A1/2/3ulhf_L,A4hf_R,1,0,False,False,178
A10l_L,Left Crus II,1,0,False,False,179
A10m_L,A21r_R,1,0,False,False,180
A10m_L,A9m_L,1,0,False,False,181
A10m_R,A1/2/3ll_L,1,0,False,False,182
A10m_R,A10m_L,1,0,False,False,183
A10m_R,A12/47o_L,1,0,False,False,184
A10m_R,A14m_L,1,0,False,False,185
A14m_L,A10m_R,1,0,False,False,185
A10m_R,A14m_R,1,0,False,False,186
A14m_R,A10m_R,1,0,False,False,186
A10m_R,A20il_L,1,0,False,False,187
A10m_R,A21r_L,1,0,False,False,188
A21r_L,A10m_R,1,0,False,False,188
A10m_R,A23c_L,1,0,False,False,189
A10m_R,A23c_R,1,0,False,False,190
A10m_R,A23d_R,1,0,False,False,191
A10m_R,A23v_L,1,0,False,False,192
A23v_L,A10m_R,1,0,False,False,192
A10m_R,A31_L,1,0,False,False,193
A10m_R,A32sg_L,1,0,False,False,194
A10m_R,A38l_L,1,0,False,False,195
A10m_R,A38m_L,1,0,False,False,196
A38m_L,A10m_R,1,0,False,False,196
A10m_R,A4ll_L,1,0,False,False,197
A10m_R,A6dl_L,1,0,False,False,198
A10m_R,A6vl_L,1,0,False,False,199
A10m_R,A8dl_R,1,0,False,False,200
A10m_R,A8m_L,1,0,False,False,201
A10m_R,A8vl_R,1,0,False,False,202
A10m_R,A9l_L,1,0,False,False,203
A10m_R,aSTS_L,1,0,False,False,204
aSTS_L,A10m_R,1,0,False,False,204
A10m_R,dmPOS_L,1,0,False,False,205
A10m_R,dmPOS_R,1,0,False,False,206
A10m_R,IFJ_L,1,0,False,False,207
A10m_R,IFJ_R,1,0,False,False,208
A10m_R,rCunG_L,1,0,False,False,209
A10m_R,rCunG_R,1,0,False,False,210
A10m_R,rLinG_L,1,0,False,False,211
A10m_R,vmPOS_L,1,0,False,False,212
A10m_R,vmPOS_R,1,0,False,False,213
A11m_L,A14m_L,1,0,False,False,214
A11m_L,A21r_R,1,0,False,False,215
A11m_L,A23v_L,1,0,False,False,216
A11m_L,A23v_R,1,0,False,False,217
A23v_R,A11m_L,1,0,False,False,217
A11m_L,A31_R,1,0,False,False,218
A11m_L,dmPOS_L,1,0,False,False,219
A11m_L,Left I-IV,1,0,False,False,220
A11m_L,rCunG_R,1,0,False,False,221
A11m_L,vmPOS_L,1,0,False,False,222
vmPOS_L,A11m_L,1,0,False,False,222
A11m_R,A1/2/3tru_R,1,0,False,False,223
A11m_R,A11m_L,1,0,False,False,224
A11m_R,A11m_R,1,0,False,True,225
A11m_R,A14m_L,1,0,False,False,226
A11m_R,A20il_L,1,0,False,False,227
A11m_R,A20il_R,1,0,False,False,228
A11m_R,A21c_L,1,0,False,False,229
A11m_R,A21r_L,1,0,False,False,230
A21r_L,A11m_R,1,0,False,False,230
A11m_R,A21r_R,1,0,False,False,231
A11m_R,A23d_L,1,0,False,False,232
A11m_R,A23d_R,1,0,False,False,233
A11m_R,A23v_L,1,0,False,False,234
A23v_L,A11m_R,1,0,False,False,234
A11m_R,A23v_R,1,0,False,False,235
A23v_R,A11m_R,1,0,False,False,235
A11m_R,A24rv_L,1,0,False,False,236
A11m_R,A31_R,1,0,False,False,237
A11m_R,A39c_L,1,0,False,False,238
A11m_R,A39rv_L,1,0,False,False,239
A11m_R,A6vl_L,1,0,False,False,240
A11m_R,A8dl_L,1,0,False,False,241
A8dl_L,A11m_R,1,0,False,False,241
A11m_R,A8dl_R,1,0,False,False,242
A11m_R,A8vl_L,1,0,False,False,243
A11m_R,A9/46d_L,1,0,False,False,244
A11m_R,aSTS_L,1,0,False,False,245
aSTS_L,A11m_R,1,0,False,False,245
A11m_R,dmPOS_L,1,0,False,False,246
A11m_R,dmPOS_R,1,0,False,False,247
A11m_R,IFJ_L,1,0,False,False,248
A11m_R,Left IX,1,0,False,False,249
A11m_R,Left V,1,0,False,False,250
A11m_R,rCunG_L,1,0,False,False,251
